BillNo,Date,CustomerID,CustomerName,Items,Amount
3001,15/10/2024,2001,Rahul Sharma,3,450.25
3002,16/10/2024,2002,Priya Patel,5,1200.50
3003,17/10/2024,2004,Neha Singh,4,850.75
3004,18/10/2024,2001,Rahul Sharma,2,300.00
3005,19/10/2024,2006,Sneha Reddy,6,1550.25
3006,20/10/2024,2002,Priya Patel,3,700.50
3007,21/10/2024,2008,Meera Joshi,5,1350.00
3008,22/10/2024,2004,Neha Singh,4,950.25
3009,23/10/2024,2010,Kavita Rao,3,600.50
3010,24/10/2024,2005,Ravi Verma,2,400.00
3011,25/10/2024,2006,Sneha Reddy,4,1200.25
3012,26/10/2024,2008,Meera Joshi,3,750.75
3013,27/10/2024,2002,Priya Patel,4,1300.00
3014,28/10/2024,2001,Rahul Sharma,5,1100.25
3015,29/10/2024,2004,Neha Singh,6,1400.253016,29/12/2025,2011,Sajid Ahmed,2,724.50
